NO,ABSTRAK,,,,,
22,"Leukemia adalah kanker yang merusak darah dan sumsum tulang di mana sel-sel darah dibuat. Ada empat jenis Leukemia yaitu, Acute Myeloid Leukemia (AML), Acute Lymphoblastic Leukemia (ALL), Chronic Myeloid Leukemia (CML), Chronic Lymphocytic Leukemia (CLL). CML dan AML umumnya terjadi pada orang dewasa sedangkan penyakit ALL umumnya terjadi pada anak-anak dan keganasannya berkembang dengan cepat. Oleh karena keganasan penyakit ALL berkembang sangat cepat sedangkan untuk mendiagnosa dibutuhkan waktu yang lama maka diperlukan sistem yang mampu membantu patologi dalam mengenali jenis sel leukosit secara otomatis. Tujuan awal sistem penelitian ini adalah mengidentifikasi penyakit ALL dengan melakukan segmentasi Otsu Tresholding untuk memisahkan sel darah putih. proses selanjutnya yaitu ekstraksi fitur dengan menggunakan fitur Gray Level Co-Occurance Matrix (GLCM) dan fitur Color Co-Occurrence Matrix (CCM). Sedangkan untuk klasifikasinya menggunakan klasifikasi Naive Bayes. Penelitian difokuskan pada jenis penyakit ALL untuk membantu mengidentifikasi dengan cepat. Akurasi tertinggi terjadi pada skenario berdasarkan fitur GLCM kuantisasi 2bit sebesar 94,1%, sedangkan berdasarkan fitur CCM akurasi tertinggi sebesar 81,5%. Jadi, dalam kasus ini metode GLCM lebih cocok dari pada metode CCM.",,,,,
23,"Banyaknya informasi dan dokumen yang ada mendorong manusia untuk mencari bagaimana untuk mendapatkan informasi dan dokumen yang diinginkan dalam waktu yang singkat. Klasifikasi dokumen tugas akhir dapat membantu program studi Teknik Informatika dalam proses pencarian sebuah dokumen dengan cepat dan tepat. Klasifikasi dokumen tugas akhir mengelompokkan dokumen yang sesuai dengan bidang minat masing-masing di dalam jurusan Teknik Informatika Universitas Trunojoyo Madura diantaranya adalah bidang minat sistem informasi dan rekayasa perangkat lunak , multimedia , sistem terdistribusi, komputasi dan kecerdasan buatan dengan menggunakan PCA (Principle Component Analisis) sebagai pereduksi dimensi dokumen proposal seminar tugas akhir, dimana PCA ini akan mengestraksi fitur dari dokumen sehingga hanya mengambil ciri penting dari dokumen untuk diklasifikasikan menggunakan metode Expectation Maximization, dimana metode Expectation Maximization merupakan salah satu metode dalam pengklasifikasian. Pengujian akan memakai 30 dokumen proposal seminar tugas akhir yang dibagi menjadi dua bagian yaitu dokumen training dan dokumen testing. yaitu 17 dokumen untuk data training dan 13 dokumen untuk dokumen test. Pengujian klasifikasi dengan Expectation Maximization menghasilkan nilai rata-rata untuk precision sebesar 0,81 dan recall sebesar 0,87 yang memiliki tingkat akurasi sebesar 85% dan tingkat error rate sebesar 15%.",,,,,
24,"Perusahaan harus mampu menyeimbangan produksi gula sesuai dengan permintaan pasar. Karena, jika produksi gula melebihi permintaan pasar akan menyebabkan penumpukkan dan biaya pengeluaran yang melebihi batas. Namun, jika produksi gula terlalu sedikit perusahaan tidak mampu memenuhi permintaan pasar sehingga dapat mengurangi kesempatan perusahaan untuk mendapatkan keuntungan. Untuk itu diperlukan sebuah sistem yang nantinya dapat mempermudah proses peramalan produksi gula. Sistem yang dibangun menggunakan perbandingan 2 metode, yaitu metode Single Exponential Smoothing dan metode Backpropagation. Tujuan dari penelitian ini untuk mengetahui hasil akurasi terbaik menggunakan metode Single Exponential Smoothing dan metode Backpropagation pada peramalan produksi gula. Metode Single Exponential Smoothing dan Backpropagation digunakan untuk meramalkan jumlah produksi gula untuk satu bulan kedepan berdasarkan data produksi 5 bulan sebelumnya. Dari hasil pengujian yang telah dilakukan, dapat diketahui bahwa metode Backpropagation menghasilkan MSE dan MAPE terkecil, yaitu sebesar 57187817,49 dan MAPE sebesar 1,019593892% dibandingkan metode Single Exponential Smoothing dengan MSE sebesar 83602989,43 dan MAPE sebesar 1,46412926%. Sehingga metode yang peling tepat untuk peramalan produksi gula yaitu metode Backpropagation.",,,,,
25,"Sistem parkir yang berlaku saat ini kebanyakan masih bersifat pencatat manual untuk memasuki area perparkiran, dengan menggunakan karcis parkir sebagai tanda bukti. Dengan sistem tersebut masih memiliki kekurangan dalam tingkat kebenaran pencatat nomor kendaraan (human error) dan hal ini mempengaruhi lamanya proses pelayanan dari sistem perparkiran yang ada. Dalam penelitian ini sistem dibuat untuk bi sa mendeteksi lokasi plat nomor. Operasi morfologi merupakan salah satu metode yang memfokuskan pengolahan bentuk atau segmen pada suatu citra. Berdasarkan hal tersebut maka dalam penelitian Tugas Akhir ini dibuat suatu sistem pendeteksi lokasi plat nomor dengan menggunnakan operasi morfologi. Dengan mengunakan fungsi dari dilasi untuk menebalkan citra, erosi untuk menipiskan citra, opening untuk digunakan membuang obyek yang dianggap sebagai noise. Untuk langkah pertama dalam menjalankan sistem yaitu input citra kemudian diproses melalui tiga tahapan yaitu preprocessing, seleksi obyek plat nomor dan selanjutnya verifikasi posisi plat nomor. Output yang ditampilkan yaitu lokasi dari posisi plat nomor pada suatu kendaraan yang mana ditandai dangan area persegi pada input citra. Berdasarkan hasil uji coba dari empat skenario didapat hasil yang terbaik dari skenario ketiga yaitu label 8 disk 1 yang menghasilkan pendeteksian posisi plat nomor dengan 90 % sukses sedangkan yang error atau tidak terdeteksi sebanyak 10%.",,,,,
26,"Dalam dunia pendidikan dan pengajaran di kelas maupun melalui e-learning, hal utama yang menjadi fokus adalah peserta didik. Bila dikaji dengan cermat, setiap individu mempunyai kemahiran yang berbeda ketika memproses suatu maksud dari sebuah pembelajaran. Oleh sebab itu, perlu dikembangkan konsep adaptivitas gaya pembelajaran yang sesuai. Karena, hal tersebut merupakan faktor penting terhadap prestasi belajar para peserta didik. Dalam tugas akhir ini, membahas tentang analisa gaya belajar siswa Felder-Silverman Learning Style Model (FSLSM) melalui pengambilan data kuisioner ILS. FSLSM merupakan salah satu model gaya belajar yang mengelompokkan menjadi empat dimensi yaitu active atau reflective, sensing atau intuitive, visual atau verbal, dan sequential atau global. ILS merepresentasikan ciri dari dimensi gaya belajar dalam 44 item soal kuisioner. Banyaknya pertanyaan yang mewakili tiap-tiap dimensi sebagai variabel komponen untuk proses pendeteksian, menyebabkan tingkat akurasi dan kecepatan deteksi karakteristik menjadi rendah. Sehingga diperlukan adanya reduksi ciri terhadap pertanyaan-pertanyaan tersebut berdasarkan analisa faktor utama melalui penerapan metode Principal Component Analysis (PCA). Sistem yang telah dibangun dengan penerapan metode PCA mampu mereduksi soal-soal kuisioner dari 44 soal menjadi 16 soal dengan akurasi keberhasilan tertinggi sebesar 71.7%. Pengujian dilakukan pada 400 data kuisioner sebagai data testing sekaligus data training.",,,,,
27,"Memberikan pelayanan terbaik merupakan hasil akhir yang dapat mengukur tingkat keberhasilan suatu perusahaan. Distribusi memiliki peran penting mendukung keberhasilan perusahaan untuk menghasilkan performansi terbaik. Pemilihan supplier dengan mengukur performansi supplier adalah hal penting yang harus dilakukan oleh perusahaan untuk mengoptimalkan biaya dan waktu produksi. Penelitian ini dilakukan pada PT. PAL Indonesia dengan mengambil objek Kapal Patroli Cepat (KPC). Permasalahan dalam penelitian ini adalah akan ditentukan supplier terbaik berdasarkan banyak kriteria. Metode Fuzzy digunakan untuk melakukan penilaian terhadap kriteria yang dimiliki supplier, sedangkan untuk penilaian efisiensi digunakan metode Data Envelopment Analysis (DEA). Fuzzy � Data Envelopment Analysis merupakan pengembangan dari metode DEA standar. Dari hasil pengolahan dan analisa data disimpulkan bahwa supplier yang efisien menurut kriteria untuk Copper pipe adalah Myeong S. untuk elektroda adalah PT. Thermadine, supplier untuk kayu adalah PT. Gotong Royong, dan supplier untuk kabel adalah JS. Cable.",,,,,
28,"Banyak informasi beasiswa yang ada di internet, di satu sisi memunculkan kesulitan bagi para pencari beasiswa untuk mendapatkan informasi beasiswa. Konsep sistem pencarian berbasis information retrieval (IR), dapat digunakan untuk proses mencari informasi beasiswa melalui media internet. Pembangunan IR pada penelitian ini menggunakan konsep vector space model (VSM). Untuk pengumpulkan data informasi beasiswa menggunakan Web Crawler, hasil dari proses crawling akan disimpan ke dalam basis data. Aplikasi Web Crawler yang digunakan adalah Web Crawler Vietspider. Kesamaan data beasiswa yang akan diintegrasikan oleh cosine similarity. Dengan menggunakan cosine similarity untuk membentuk data beasiswa yang relevan satu sama lain yang dibutuhkan oleh user berdasarkan query yang dimasukkan. Berdasarkan hasil dari pengujian sistem, didapatkan nilai minimal cosine similarity paling baik adalah threshold 0,1. Dengan rata-rata presentase nilai f-measure atau tingkat efisiensi kinerja sistem ini mencapai 19,9 %.",,,,,
29,"Sistem informasi ERP mengintegrasikan proses bisnis disemua fungsional perusahaan untuk meningkatkan sumber daya yang dimiliki sebuah perusahaan. Penelitian ini bertujuan untuk merancang sebuah desain aplikasi untuk mendapatkan sebuah blueprint pada modul distribusi. Zachman Framework (ZF) merupakan salah satu kerangka kerja untuk memetakan artifak sebuah arsitektur informasi dalam sebuah organisasi. ZF mendeskripsikan level perspektif arsitektur IT. Terdiri dari 6 level perspektif yaitu: Scope (Planner Perspective), Enterprise Model (Owner Perspective), System Model (Designer Perspective), Technology Model (Builder Perspective), Detailed Representation (Sub-Contractor/Implementer Perspective) dan Functioning Enterprise (Participant Perspective). Perspektif tersebut sesuai dengan abstraksi objek (what, how, why, when, where, who). Untuk standarisasi artifak informasi digunakan pendekatan UML 2.0, sehingga mampu meningkatkan deskripsi ZF menjadi standart Model Driven Design. Untuk pengujian hasil dari desain perancangan sistem telah dikembangkan perangkat lunak ERP pada modul distribusi yang telah menerapkan konsep Model Driven Design untuk menjadi aplikasi yang berkualitas. Berdasarkan hasil pengujian sistem dari PT.IGLAS persero, didapatkan tingkat kepuasan rata-rata 85.6. Sedangkan untuk penilaian availability sistem secara kuantitatif telah dilakukan komparasi sistem dengan OpenERP 7.0. sistem ERP yang dikembangkan lebih kompleks dan mudah untuk dijalankan dengan ketersediaan fitur 85.7% berbanding dengan OpenERP 7.0 yang memiliki ketersediaan fitur 80.9%.",,,,,
30,"Sedikitnya pengetahuan dan minimnya pola pelestarian tentang bahasa Madura menyebabkan bahasa tersebut kurang terjaga kelestarianya. Hal tersebut dikarenakan proses globalisassi dan urbanisasi yang berpotensi memicu terjadinya asimilasi dan akulturasi budaya, terutama didaerah perkotaan. Keadaan tersebut memicu terbentuknya bahasa baru (bahasa gaul) yang lebih disukai terutama oleh kalangan pemuda. Dan juga munculnya sekolah nasional dan internasional yang mewajibkan siswa untuk berkomunikasi menggunakan bahasa asing. Oleh karena itu, perlu adanya pola pembelajaran yang lebih efektif agar bahasa Madura tetap terjaga kelestariannya. Salah satunya dengan membuat aplikasi penerjemah dari bahasa Indonesia ke bahasa Madura dengan menggunakan metode Rule Based. Aplikasi ini juga dibuat sebagai salah satu penyebaran dan pengenalan bahasa Madura ke masyarakat luar Madura sehingga bahasa Madura akan tetap terjaga kelestariannya karena aplikasi penerjemah ini mampu menerjemahkan dari bahasa Indonesia ke bahasa Madura dengan baik",,,,,
31,"Citra digital memiliki ukuran dan obyek berupa foreground dan background. Untuk memisahkannya, perlu dilakukan sebuah proses segmentasi citra. Salah satu metode dalam proses segmentasi citra adalah menggunakan Metode Otsu thresholding. Penelitian ini dibagi menjadi lima proses, yaitu input data citra, pre-processing, segmentasi, cleaning, dan perhitungan akurasi. Tahap pertama adalah input data citra digital RGB yang di dalamnya terdiri dari beberapa obyek. Tahap kedua adalah konversi dari citra RGB ke citra grayscale. Tahap ketiga adalah mencari nilai ambang secara otomatis menggunakan Metode Otsu thresholding, kemudian dikonversi ke citra biner. Tahap keempat adalah proses invert image, noise removal dengan nilai ambang 150, dan morphology. Tahap terakhir adalah proses perhitungan akurasi dilakukan untuk mengukur kinerja dari metode segmentasi yang selanjutnya hasil dari proses tersebut dibandingkan dengan citra Ground Truth hasil pengamatan user secara langsung untuk menghitung tingkat akurasi. Pengujian dilakukan pada Weizmann Segmentation Database sebanyak 30 citra digital RGB. Akurasi yang didapat dari pengujian tersebut sebesar 93,33%.",,,,,
32,"Sistem Perolehan Citra berbasis Isi (SPCI) merupakan sistem pencarian citra menggunakan isi visual, untuk mencari citra relevan pada database citra sesuai dengan citra inputan yang diinginkan oleh pengguna. Fitur yang terkait isi visual terdiri dari bentuk, warna dan tekstur adalah fitur utama sebuah citra. Warna adalah salah satu fitur visual yang paling banyak digunakan dalam CBIR karena warna dapat dikenali langsung oleh indra manusia. Oleh karena itu, Fitur warna digunakan dalam penelitian ini sebagai proses ekstraksi fitur dari delapan kelas citra batik yaitu: citra batik Cirebon, batik Bali, batik Pamekasan, batik Solo, batik Jogja, batik Sumenep, batik Pekalongan, dan batik Bangkalan sebagai objek perolehan citra berbasis isi. Terdapat dua tahapan yaitu tahapan pertama ekstraksi fitur warna dengan menggunakan metode Color Co-occurrence Matrix, tahap ke dua dilakukan pencocokan antara citra database dan citra query menggunakan Similarity. Pada proses similarity dilakukan modifikasi yang disebut Modified Color Co-occurrence Matrix. Dari tiga skenario yang telah di uji coba pada 200 citra batik, dengan percobaan 10 citra query di dapatkan bahwa tingkat presicion MCCM lebih tinggi dibanding dengan CCM, masing masing tingkat akurasi presicion 66% untuk CCM dan 73% untuk MCCM.",,,,,
33,"Saat ini perkiraan persediaan air kurang optimal, dimana kadang jumlah air yang diproduksi lebih besar atau lebih kecil dari permintaan. Hal ini tentunya akan menyebabkan terjadinya pemborosan air oleh PDAM Bangkalan ataupun kekurangan air yang dialami oleh konsumen. Kedua permasalahan ini tidak lepas dari kondisi yang ada yaitu terjadinya kehilangan air dan tambahan kompensasi. Untuk itulah dibutuhkannya sistem peramalan ketersediaan air dengan mempertimbangkan faktor-faktor tersebut perlu dilakukan. Tujuan dari laporan ini adalah untuk memperoleh sistem peramalan yang akurat yang dapat membantu produksi air di masa depan agar tidak terjadi pemborosan dan kekurangan air. Metode penelitian yang digunakan untuk peramalan adalah metode Jaringan Syaraf Tiruan Backpropagation. Pada tahap uji coba dilakukan pengujian untuk mendapatkan jumlah iterasi, learning rate, data latih dan data uji, dan maksimal error yang optimal. Berdasarkan hasil penelitian ini didapatkan bahwa Peramalan Produksi Air PDAM Bangkalan dengan metode Backpropagation menghasilkan akurasi yang cukup tinggi dengan menggunakan variabel jumlah pelanggan, volume distribusi air, volume air terjual, volume kehilangan air dan volume produksi air. Akurasi tertinggi yang diperoleh adalah 98% dengan parameter terbaik adalah learning rate (alpha) 0,9 , jumlah iterasi 10000, max error 0,0001 dan pembagian data latih dan data uji menggunakan 5 Fold Cross Validation menghasilkan rata-rata akurasi 83%.",,,,,
34,"Masalah utama yang dimiliki seorang investor adalah dengan adanya fluktuasi harga saham yang dinamis dan selalu berubah setiap hari. Perubahan tersebut dapat membuat seorang investor kebingungan dalam memilih saham mana yang harus dibeli dan saham yang harus dijual. Sektor Telekomunikasi salah satunya yang persaingannya sangat tinggi seperti XL axiata, Indosat, Telkomsel, dan Smartfren. Dengan adanya prediksi harga saham menggunakan metode Neural Network Algoritma Backpropagation dengan momentum. Data dari harga saham dapat ditentukan berdasarkan runtunan waktu (time series). Dengan algoritma ini, jaringan-jaringan dapat dilatih dengan menggunakan data harga saham dari situasi sebelumnya, sehingga dapat membantu para investor pengambilan keputusan periode berikutnya.Berdasarkan hasil peramalan harga saham menggunakan Backpropagation momentum dengan autokorelasi ARIMA menghasilkan nilai rata-rata akurasi sebesar 98%, dengan MSE terkecil 0.02 dan MAPE 0.59. Selisih error yang dihasilkan jaringan menggunakan autokorelasi lebih akurat dibandingkan peramalan tanpa menggunakan autokorelasi, MAPE yang dihasilkan sebesar 0.14%",,,,,
35,"Perkembangan di zaman era globalisasi ini ternyata tidak dapat melepaskan sebagian besar masyarakat di Indonesia untuk lepas dari masalah kemiskinan dan berkaitan dengan perumahan dan permukiman yang merupakan hak dasar bagi setiap Warga negara Indonesia. Untuk mendukung pemenuhan kebutuhan RTLH, Kemenpera melalui Deputi Bidang Perumahan memiliki program BANTUAN STIMULAN PERUMAHAN SWADAYA (BSPS) bagi masyarakat berpenghasilan rendah. Pada tugas akhir ini, diperlukan suatu sistem yang dapat membantu dalam menentukan bantuan RTLH untuk masyarakat yang benar-benar tidak mampu, dalam system pendukung keputusan menggunakan metode SMARTER mampu menganalisa kriteria yang pada akhirnya dapat menentukan penduduk mana yang lebih layak menerima BSPS. Akan tetapi dalam metode SMARTER mempunyai sebuah kelemahan untuk penentuan bobot criteria tidak dapat dirubah. Dan hasil dari perhitungan yang berupa perangkingan dari metode SMARTER tersebut kemudian akan dipetakan dengan menggunakan Sistem Informasi Geografis (SIG). Penyajian data penduduk menggunakan Google Maps dapat membantu menentukan letak posisi rumah penduduk dari hasil perangkingan yang layak menerima BSPS. Hasil pemetaan akan tampak masing-masing dari prioritas perangkingan tersebut. Pada hasil penelitian yang telah dilakukan dalam penentuan BSPS, system memiliki tingkat kesesuaian sebesar 78% jika dibandingkan dengan data real tahun 2013.",,,,,
36,"Pengenalan tulisan tangan adalah salah satu cabang dari pengenalan pola. Carakan merupakan tulisan yang cukup kompleks dan memiliki karakteristik yang lebih unik dibandingkan dengan tulisan latin, apalagi bila ditulis dengan tulisan tangan. Faktor yang menyebabkan proses pengenalan tulisan carakan sulit untuk dilakukan adalah variasi bentuk tulisan carakan dan memiliki kemiripan antar huruf. Hal ini memungkinkan adanya kesalahan dalam proses klasifikasi. Pada penelitian ini dibangun sistem pengenalan tulisan tangan secara real time dimana proses ekstraksi ciri menggunakan metode Dominant Point untuk mendapatkan ciri pada setiap karakter masukan. Metode ini pada dasarnya sistem akan membaca arah goresan pena yang didasarkan pada kumpulan titik. Pada proses klasifikasi serta pengenalan karakter menggunakan Fine Classification. Pada proses ini, pengenalan dilakukan dengan tiga tahap yaitu penilaian prakandidat, menyeleksi kandidat, lalu pencocokan karakter. Proses ini yang membuat sistem dengan cepat melakukan proses pengenalan. Dari uji coba yang dilakukan pada sistem, hasil terbaik untuk pengenalan citra huruf tulisan tangan carakan diperoleh dari data pelatihan sebanyak 600 citra pada data uji coba skenario ke 3 dengan akurasi sebesar 90%. Sedangkan hasil terendah diperoleh dari data pelatihan sebanyak 200 citra pada data uji coba skenario ke 1 dengan akurasi sebesar 40%. Hasil akurasi rata-rata dari sembilan skenario adalah sebesar 67,67%.",,,,,
37,"Sistem Perolehan Citra Berbasis Isi (SPCI) merupakan teknik pencarian berdasarkan konten visual untuk mencari citra yang sesuai dengan keinginan pengguna.Secara umum, SPCI memiliki dua tahapan utama, yaitu ekstraksi fitur dan pengukuran kemiripan. Fitur yang digunakan dalam penelitian ini adalah fitur warna karena fitur warna merupakan fitur yang umum digunakan, dan dapat merepresentasikan warna sesuai dengan visual mata manusia. Ekstraksi fitur warna dilakukan dengan menggunakan metode Transformasi Kekre, dan Segmentasi Warna HSV. Hasil dari ekstraksi fitur warna digunakan untuk pengukuran kemiripan antara citra query dengan basis data citra. Pengukuran ini menggunakan metode Euclidean Distance.Metode Transformasi Kekre dan Segmentasi Warna HSV diaplikasikan pada 170 citra bunga dari 17 kelas yang berbeda. Uji coba dilakukan terhadap 15 citra query dan diperoleh hasil yang lebih baik pada Segmentasi Warna HSV dengan precision sebesar 75% dan recall sebesar37%. Sedangkan precision dan recall pada Transformasi Kekre adalah 49% dan 25%. Hal ini dikarenakan proses awal Segmentasi Warna HSV yang melakukan konversi citra ke ruang warna HSV dianggap lebih baik dalam membedakan warna dibandingkan dengan Transformasi Kekre yang juga melakukan konversi citra, tetapi ke dalam format grayscale.",,,,,
38,"Salah satu komplikasi penyakit mata akibat diabetes mellitus adalah Diabetic Retinopathy (DR). Penyakit ini merusak pembuluh darah mikro (microvascular) pada retina mata. DR merupakan penyebab utama kebutaan pada penderita diabetes. Segmentasi Optic Disc (OD) merupakan salah satu bagian penting dari pemrosesan citra. Segmentasi bertujuan untuk melakukan pembagian citra menjadi beberapa wilayah homogen berdasarkan kriteria kemiripan tertentu. Penelitian ini bertujuan untuk mendeteksi lokasi OD pada retina secara otomatis. Proses deteksi OD diawali dengan preprocessing untuk meningkatkan kualitas citra dan menghilangkan pembuluh darah. Dilakukan seleksi Region of Interest. Selanjutnya kontur OD dideteksi dengan menggunakan algoritma Fuzzy C-Means Clustering (FCM). Hasil segmentasi dengan metode FCM dibandingkan dengan hasil deteksi ahli mata. Dengan metode ini diperoleh akurasi sebesar 96,85%, sensitivitas 79,24% dan spesifisitas 97,26%.",,,,,
39,"Batik merupakan budaya asli yang berasal dari Indonesia. Setiap daerah di Indonesia memiliki batik dengan khas yang berbeda tiap daerah. Kekhasan batik dapat dilihat dari motif yang terdapat pada batik itu sendiri. Tiap daerah memiliki motif yang menjadi ciri dan budaya dari daerah tersebut. Cara membedakan motif dari batik sangat sulit bagi orang awam dan hanya menggunakan kemampuan visual saja. Banyak penelitian dalam bidang teknologi dan komputasi yang dilakukan dengan latar belakang permasalahan ini seperti pengenalan pola motif batik, klasifikasi batik berdasarkan asal daerahnya, dan lain-lain. Banyak metode-metode yang digunakan dan dengan hasil akurasi yang berbeda. Pada penelitian ini akan dilakukan identifikasi terhadap citra batik dari empat kabupaten di Madura dengan metode 2D Discrete Fourier Transform (2D-DFT) untuk ekstraksi ciri dan Na�ve Bayes untuk proses klasifikasi dan identifikasi. Hasil dari penelitian ini berupa sistem yang dapat mengidentifikasi dan menglasifikasi Batik Madura. Pada penelitian ini akurasi tertinggi batik yang dapat dikenali sistem adalah 51.85%.",,,,,
40,"Toko Batik Tulis Madura merupakan salah satu toko yang telah beroperasi sejak tahun 2011 dengan menggunakan website e-commerce. Walau telah menggunakan model e-commerce, website tersebut memiliki kekurangan yaitu belum ada fitur rekomndasi untuk memudahkan konsumen mencari barang yang ingin dibelinya. Penelitian ini bertujuan membuat rekomendasi dengan decision aid untuk membantu pelanggan dalam memilih produk di website Toko Batik Tulis Madura. Teknik pengumpulan analis data terdiri dari Studi Literatur yang berhubungan dengan decision aid dan multi criteria, Observasi dilakukan terhadap website Toko Batik Tulis Madura dan Interview dilakukan kepada pemilik website Toko Batik Tulis Madura. Pembuatan implementasi pada Penelitian ini menggunakan model waterfall. Jenis decision aid yang akan diimplementasikan adalah Multi Criteria Filtering. Metode pembobotan yang digunakan pada Multi Criteria Filtering yaitu Decision Matrix. Hasil ujicoba dengan jumlah sample percobaan sebanyak 50 kali data perconbaan pencarian, presentase akurasi adalah 94% dan error adalah 6%. Hasil uji kelayakan dari beberapa kuisoner dihasilkan bahwa performa yang dimiliki tool ini cukup baik dan tool ini layak untuk diintegrasikan serta digunakan dalam website e-commerce.",,,,,
41,"Klasifikasi citra merupakan proses pengelompokan piksel citra ke dalam kelas tertentu yang memiliki batasan yang sama. Setiap kelas memiliki label atau fitur khas yang dapat dijadikan perwakilan dari kelasnya. Klasifikasi penting adanya untuk mempermudah proses pelabelan atau pengelompokan citra. Pada citra sampah, pemberlakuan klasifikasi dilakukan untuk mengetahui tingkat kompleksitas kepadatan sampah. Proses klasifikasi dilakukan dengan menggunakan metode feature learning dari Convolutional Neural Network (CNN) yang dikombinasikan menggunakan nilai fitur tambahan dari Handcrafted Features. Fitur tambahan tersebut berupa nilai structure yang diekstrak dengan menggunakan metode deteksi tepi dengan operator Lapacian dan nilai diversity yang diekstrak dengan menggunakan metode deteksi sudut dengan algoritma FAST (Feature from Accelerated Segment Test). Fitur-fitur tersebut digabungkan pada fully connected layer sehingga didapatkan nilai keluaran berupa hasil klasifikasi dari citra. Penelitian dilakukan dengan menggunakan dataset citra sampah yang diambil dari Google Image sebanyak 3079 data. Dataset dibagi menjadi dua kelompok besar yaitu 80% untuk data training dan 20% untuk data test. Terdapat dua skenario uji coba untuk penelitian yaitu, uji coba pengaruh jumlah dataset dan uji coba pengaruh jumlah fitur. Uji coba pengaruh jumlah dataset menghasilkan rata-rata nilai F1-Score tertinggi sebesar 42.95% untuk dataset asli serta nilai F1-Score tertinggi sebesar 63.21% untuk dataset augmentasi. Uji coba jumlah fitur menghasilkan rata-rata nilai F1-Score tertinggi sebesar 63.21% untuk model 1 dan 62.46% untuk model 2. Terdapat peningkatan akurasi sebesar 1% dari model 1B (Model Kombinasi) terhadap model 1A (Model CNN) dan peningkatan akurasi sebesar 1.5% dari model 2B (Model Kombinasi) terhadap model 2A (Model CNN). Dari hasil uji coba, dapat disimpulkan bahwa semakin banyak jumlah dataset dan semakin banyak jumlah fitur yang digunakan, maka kinerja sistem menjadi semakin baik.",,,,,
42,"Teknologi di dunia kedokteran semakin berkembang. Hal tersebut memudahkan untuk mendeteksi penyakit pada manusia termasuk penyakit diabetes. Penyakit diabetes menyebabkan permasalahan pada mata yang disebut juga dengan Diabetic Retinopathy. Untuk mendeteksi penyakit tersebut, tahap awal yang dilakukan adalah dengan melakukan segmentasi pada pembuluh darah. Penelitian ini menerapkan Laplacian of Gaussian sebagai metode segmentasi. Terbagi tiga proses utama antara lain preprocessing, segmentasi, dan perbaikan citra setelah proses segmentasi. Tahap pertama adalah preprocessing, yaitu mengambil citra green channel, dan memperbaiki kontras citra dengan Contrast Limited Adaptive Histogram Equalization (CLAHE). Tahap kedua adalah segmentasi dengan Laplacian of Gaussian. Laplacian of Gaussian mempunyai dua parameter, yaitu koordinat (x,y) dan variansi. Hasil dari Laplacian of Gaussian adalah matrik mask yang digunakan untuk mengkonvolusi citra. Tahap ketiga dilakukan proses noise removal, overlapping mask, operasi morfologi dilasi dan field of view removal. Hasilnya dibandingkan dengan citra groundtruth untuk menghitung tingkat akurasi. Pengujian dilakukan pada database Digital Retinal Images for Vessel Extraction (DRIVE) sebanyak 20 citra. Hasil citra segmentasi dibandingkan dengan citra groundtruth. Akurasi dengan hasil terbaik sebesar 88,88 % dan 79,29 % untuk akurasi terendah. Rata-rata akurasi sebesar 85,53 %. Citra yang dihasilkan dari segmentasi cukup baik sehingga metode Laplacian of Gaussian mampu melakukan segmentasi dengan baik.",,,,,
43,"Teknologi pengenalan karakter merupakan salah satu teknologi yang sangat bermanfaat untuk membantu manusia dalam hal pekerjaan dan proses digitalisasi. Maka dari itu banyak dilakukan penelitian mengenai pengenalan citra karakter. Penelitian Tugas Akhir ini menerapkan metode Template Matching Correlation untuk pengenalan karakter lebih dari satu baris (Multi Line). Terdapat tiga tahapan utama yang digunakan, yaitu tahap pre-processing, segmentasi dan pengenalan karakter. Tahap pre-processing ialah tahap merubah citra menjadi biner dan menghilangkan noise. Tahap kedua ialah segmentasi dengan Profil Proyeksi. Pada segmentasi Profil Proyeksi dilakukan proses pemotongan menurut baris dan kolom untuk mendapatkan citra karakter. Hasil citra karakter uji dan template harus disamakan ukuran agar dapat diproses pada tahap selanjutnya. Tahap ketiga yaitu pengenalan karakter digunakan Metode Template Matching Correlation untuk menghitung kedekatan antara karakter citra template dan citra uji. Cara kerja metode Template Matching Correlation ialah mencocokkan setiap piksel pada matrik citra uji dengan citra yang menjadi template acuan untuk mendapatkan nilai maksimum. Nilai maksimum tersebut yang dijadikan hasil dari pengenalan karakter tulisan. Pengujian dilakukan terhadap 40 citra dengan variasi dua hingga empat baris kalimat. Akurasi yang didapatkan dari pengujian tersebut cukup baik, yaitu sebesar 71% karakter dapat dikenali dengan menggunakan metode Template Matching Correlation.",,,,,
